,city,lat,long
0,"south san francisco, california",37.6549493,-122.4081251
1,"oakland, california",37.8044557,-122.2713563
2,"san francisco, california",37.7792808,-122.4192363
3,"berkeley, california",37.8708393,-122.2728639
4,"belvedere tiburon, california",37.8780235,-122.469145015192
5,"san mateo, california",37.496904,-122.3330573
6,"daly city, california",37.6904826,-122.4726708
7,"san leandro, california",37.7249296,-122.1560768
8,"atherton, california",37.4613272,-122.197743
9,"san rafael, california",37.9735346,-122.5310874
10,"walnut creek, california",37.9020731,-122.0618702
11,"menlo park, california",37.4519671,-122.1779927
12,"belmont, california",37.5202145,-122.2758008
13,"san jose, california",37.3361905,-121.8905833
14,"palo alto, california",37.4443293,-122.1598465
15,"emeryville, california",37.8314089,-122.2865266
16,"el granada, california",37.513127,-122.467315826609
17,"castro valley, california",37.6945519,-122.0857432
18,"fairfax, california",37.9872935,-122.5879674
19,"mountain view, california",37.3893889,-122.0832101
20,"burlingame, california",37.5841026,-122.3660825
21,"martinez, california",38.0138934,-122.1338674
22,"pleasant hill, california",37.9479786,-122.0607963
23,"hayward, california",37.6688205,-122.0807964
24,"alameda, california",37.6090291,-121.899142
25,"vallejo, california",38.1040864,-122.2566367
26,"benicia, california",38.049365,-122.1585777
27,"el cerrito, california",33.8410146,-117.52079778812
28,"mill valley, california",37.9060368,-122.5449763
29,"richmond, california",37.9357576,-122.3477486
30,"redwood city, california",37.4863239,-122.2325233
31,"el sobrante, california",37.9744635,-122.305729403065
32,"stanford, california",37.427467,-122.1702445
33,"san pablo, california",37.9621457,-122.3455263
34,"novato, california",38.1061979,-122.5681191
35,"pacifica, california",37.6138253,-122.4869194
36,"lafayette, california",37.8857582,-122.1180201
37,"half moon bay, california",37.4635519,-122.4285862
38,"fremont, california",37.5482697,-121.9885719
39,"orinda, california",37.8771476,-122.1796888
40,"san anselmo, california",37.9744323,-122.5615032
41,"corte madera, california",37.9254806,-122.5274755
42,"albany, california",37.88687,-122.2977475
43,"san carlos, california",37.504936,-122.2618236
44,"san lorenzo, california",37.6810422,-122.1244088
45,"foster city, california",37.5600336,-122.2688522
46,"hercules, california",38.0171441,-122.2885808
47,"santa cruz, california",37.050096,-121.9905908
48,"bolinas, california",37.9093702,-122.6863733
49,"sausalito, california",37.8590272,-122.4854694
50,"millbrae, california",37.5985468,-122.3871942
51,"larkspur, california",37.9340915,-122.5352539
52,"moraga, california",37.834897,-122.12883
53,"san bruno, california",37.6304904,-122.4110835
54,"petaluma, california",38.270022,-122.606122413043
55,"pinole, california",38.0043667,-122.2988587
56,"san geronimo, california",38.006614,-122.661244944627
57,"crockett, california",38.0525612,-122.2202603
58,"boulder, colorado",40.0149856,-105.2705456
59,"brisbane, california",37.687165,-122.4027942
60,"freedom, california",36.9390882,-121.771297505573
61,"montara, california",37.54157665,-122.508431390315
62,"green brae, california",37.1297554,-122.171413440519
63,"woodside, california",37.4299388,-122.2538557
64,"new york, new york",40.7127281,-74.0060152
65,"ross, california",37.9624239,-122.5549775
66,"east palo alto, california",37.4688273,-122.1410751
67,"san quentin, california",37.9413133,-122.4849739
68,"portland, oregon",45.5202471,-122.6741949
69,"rodeo, california",38.0339842,-122.2676656
70,"hacienda heights, california",33.9930677,-117.9686755
71,"woodacre, california",38.004312,-122.636937986338
72,"westlake, california",36.97841345,-122.038308033921
73,"riverside, california",33.7219991,-116.0372472
74,"rohnert park, california",38.3396367,-122.7010984
75,"sacramento, california",38.5815719,-121.4943996
76,"point richmond, california",37.9240915,-122.3891383
77,"san diego, california",32.7174209,-117.1627714
78,"canyon country, california",34.4233293,-118.4720281
79,"tucson, arizona",32.2218917,-110.9262353
80,"honolulu, hawaii",21.304547,-157.8556764
81,"billings, montana",45.7874957,-108.49607
82,"west oakland, california",37.8116041,-122.2905628
83,"kentfield, california",37.9519958,-122.5572116
84,"milwaukee, wisconsin",43.0349931,-87.922497
85,"woodbridge, virginia",38.6581723,-77.2497049
86,"glencove, california",34.2472349,-118.2634514
87,"tiburon, california",37.8734371,-122.4566122
88,"madrid, spain",40.4167047,-3.7035825
89,"las vegas, nevada",36.1662859,-115.149225
90,"peoria, illinois",40.6938609,-89.5891008
91,"santa monica, california",34.0250724,-118.4965129
92,"bellwood, illinois",41.8814197,-87.883117
93,"los angeles, california",34.0536909,-118.2427666
94,"moss beach, california",37.5201195,-122.509669022362
95,"nha trang, vietnam",12.2431693,109.1898675
96,"hillsborough, california",37.5741032,-122.3794163
97,"olema, california",38.0407566,-122.7880459
98,"union city, california",37.5963232,-122.0816297
99,"colma, california",37.6768779,-122.459695
100,"cork, ireland",51.8979282,-8.4705806
101,"new orleans, louisiana",29.9499323,-90.0701156
102,"kensington, california",37.9073485,-122.276178146732
103,"redwood shores, california",37.5318804,-122.2480219
104,"utica, michigan",42.6261446,-83.0335384
105,"brea, california",33.9170444,-117.8888557
106,"lagunitas, california",38.011312,-122.7022085
107,"stinson beach, california",37.9008084,-122.6450801
108,"santa clara, california",37.3541132,-121.9551744
109,"studio city, california",34.1483989,-118.3961877
110,"concord, california",37.9768525,-122.0335624
111,"piedmont, california",37.8243715,-122.231635
112,"grand rapids, michigan",42.9632405,-85.6678639
113,"seaside, california",36.6253775,-121.817284359385
114,"leander, texas",30.5586046,-97.8444364
115,"forest knolls, california",39.2382274,-121.0052251
116,"edinburgh, united kingdom",55.9533456,-3.1883749
117,"magalia, california",39.8219895,-121.610654486577
118,"london, united kingdom",51.5073219,-0.1276474
119,"astoria, new york",40.7720145,-73.9302673
120,"chicago, illinois",41.8755616,-87.6244212
121,"orange, california",33.7500378,-117.8704931
122,"south wellfleet, massachusetts",41.9181613,-69.9952985
123,"bayshore, california",37.707679,-122.401819
124,"asheville, north carolina",35.6009498,-82.5540161
125,"los gatos, california",37.226611,-121.9746797
126,"boise, idaho",43.6166163,-116.200886
127,"islip terrace, new york",40.7504303,-73.1857520086702
128,"sunnyvale, california",37.3688301,-122.0363496
129,"cambridge, massachusetts",42.3750997,-71.1056157
130,"lake orion, michigan",42.7844752,-83.2396612
131,"ozone park, new york",40.67677,-73.8437461
132,"jackson, mississippi",32.2990384,-90.1847691
133,"ashland, california",37.6946528,-122.1138531
134,"south orange, new jersey",40.7474966,-74.2635376
135,"fort lauderdale, florida",26.1223084,-80.1433786
136,"minneapolis, minnesota",44.9772995,-93.2654692
137,"pasadena, california",34.1476452,-118.1444779
138,"atlanta, georgia",33.7490987,-84.3901849
139,"salt lake city, utah",40.7670126,-111.8904308
140,"arcadia, california",34.1362075,-118.0401497
141,"milpitas, california",37.4282724,-121.9066238
142,"san antonio, texas",29.4246002,-98.4951405
143,"port costa, california",38.0461551,-122.1846135
144,"nicasio, california",38.0615885,-122.6985975
145,"livingston, california",37.3901403,-120.725378941986
146,"bellingham, washington",48.7544012,-122.4788361
147,"crowley, texas",32.5790251,-97.3625172
148,"boston, massachusetts",42.3602534,-71.0582912
149,"longwood, florida",28.7007225,-81.3492779714387
150,"fayetteville, west virginia",38.0531294,-81.1039858
151,"granite bay, california",38.762173,-121.185033545684
152,"isla vista, california",34.4133801,-119.8615131
153,"hilarita, california",37.884093,-122.4719173
154,"campbell, california",37.2870626,-121.9448818
155,"stratford, connecticut",41.1845415,-73.1331651
156,"santa ana, california",33.7494951,-117.8732213
157,"santa rosa, california",38.4404675,-122.7144314
158,"kula, hawaii",20.792026,-156.3237119
159,"murfreesboro, tennessee",35.845999,-86.3920452
160,"brooklyn, new york",40.6501038,-73.9495823
161,"north hollywood, california",34.1729044,-118.3740371
162,"nevada city, california",39.2615606,-121.0160594
163,"providence, rhode island",41.8239891,-71.4128343
164,"stockton, california",37.9577016,-121.2907796
165,"marin city, california",37.868538,-122.5091404
166,"washington, district of columbia",38.8948932,-77.0365529
167,"waterford, california",37.6413202,-120.7604834
168,"vancouver, british columbia, canada",49.2608724,-123.1139529
169,"muir beach, california",37.8621493,-122.5813667
170,"pacheco, california",37.990188,-122.06975043068
171,"irvine, california",33.6856969,-117.8259819
172,"kansas city, missouri",39.100105,-94.5781416
173,"kassel, germany",51.3154546,9.4924096
174,"canyon, california",37.8303045,-122.1658667
175,"philadelphia, pennsylvania",39.9527237,-75.1635262
176,"oceanview, california",37.7136512,-122.457483
177,"long beach, new york",40.5885116,-73.657861
178,"amsterdam, netherlands",52.3745403,4.89797550561798
179,"taunton, massachusetts",41.8946107,-71.11113
180,"napa, california",38.2971367,-122.2855293
181,"austin, texas",30.2711286,-97.7436995
182,"san luis obispo, california",35.272584,-120.657094365302
183,"modesto, california",37.6390972,-120.9968782
184,"bonaduz, switzerland",46.81132,9.3984396
185,"costa mesa, california",33.6633386,-117.903317
186,"guadalajara, mexico",20.6720375,-103.3383962
187,"oakley, california",37.9974219,-121.7124536
188,"columbus, ohio",39.9622601,-83.0007065
189,"chico, california",39.7284945,-121.8374777
190,"south lake tahoe, california",38.9332411,-119.9843482
191,"vacaville, california",38.3565773,-121.9877444
192,"miami, florida",25.7742658,-80.1936589
193,"long beach, california",33.7690164,-118.1916048
194,"denver, colorado",39.7392364,-104.9848623
195,"seattle, washington",47.6038321,-122.3300624
196,"cincinnati, ohio",39.1014537,-84.5124602
197,"phoenix, arizona",33.4485866,-112.0773456
198,"rochester, michigan",42.680588,-83.1338214
